Date,Positive Total,Positive New,7-day confirmed case average,
1/29/20,1,1,,
1/30/20,1,0,,
1/31/20,1,0,,
2/1/20,1,0,,
2/2/20,1,0,,
2/3/20,1,0,,
2/4/20,1,0,0.1429,
2/5/20,1,0,0.0000,
2/6/20,2,1,0.1429,
2/7/20,2,0,0.1429,
2/8/20,2,0,0.1429,
2/9/20,2,0,0.1429,
2/10/20,2,0,0.1429,
2/11/20,2,0,0.1429,
2/12/20,2,0,0.1429,
2/13/20,2,0,0.0000,
2/14/20,2,0,0.0000,
2/15/20,2,0,0.0000,
2/16/20,2,0,0.0000,
2/17/20,2,0,0.0000,
2/18/20,2,0,0.0000,
2/19/20,2,0,0.0000,
2/20/20,2,0,0.0000,
2/21/20,2,0,0.0000,
2/22/20,2,0,0.0000,
2/23/20,2,0,0.0000,
2/24/20,2,0,0.0000,
2/25/20,2,0,0.0000,
2/26/20,2,0,0.0000,
2/27/20,2,0,0.0000,
2/28/20,2,0,0.0000,
2/29/20,2,0,0.0000,
3/1/20,3,1,0.1429,
3/2/20,3,0,0.1429,
3/3/20,4,1,0.2857,
3/4/20,6,2,0.5714,
3/5/20,14,8,1.7143,
3/6/20,28,14,3.7143,
3/7/20,72,44,10.0000,
3/8/20,91,19,12.5714,
3/9/20,96,5,13.2857,
3/10/20,110,14,15.1429,
3/11/20,132,22,18.0000,
3/12/20,161,29,21.0000,
3/13/20,222,61,27.7143,
3/14/20,295,73,31.8571,
3/15/20,364,69,38.8571,
3/16/20,515,151,59.5714,
3/17/20,764,249,93.1429,
3/18/20,1023,259,127.0000,
3/19/20,1302,279,162.5714,
3/20/20,1690,388,209.2857,
3/21/20,2012,322,244.8571,
3/22/20,2298,286,276.0000,
3/23/20,2907,609,341.5714,
3/24/20,3625,718,408.5714,
3/25/20,4372,747,478.1429,
3/26/20,5307,935,572.0000,
3/27/20,6250,943,651.2857,
3/28/20,6904,654,698.7143,
3/29/20,7427,523,732.5714,
3/30/20,8666,1239,822.4286,
3/31/20,9932,1266,900.7143,
4/1/20,11270,1338,985.2857,
4/2/20,12546,1276,1033.8571,
4/3/20,14025,1479,1110.5714,
4/4/20,15187,1162,1183.1429,
4/5/20,16164,977,1248.0000,
4/6/20,18094,1930,1347.1429,
4/7/20,20111,2017,1455.0000,
4/8/20,21975,1864,1530.1429,
4/9/20,23951,1976,1630.5714,
4/10/20,26005,2054,1712.7143,
4/11/20,27333,1328,1736.5714,
4/12/20,28264,931,1729.8571,
4/13/20,30249,1985,1737.5714,
4/14/20,33174,2925,1867.0000,
4/15/20,35710,2536,1963.5714,
4/16/20,38096,2386,2021.8571,
4/17/20,41084,2988,2155.2857,
4/18/20,42564,1480,2176.8571,
4/19/20,43653,1089,2199.5714,
4/20/20,46337,2684,2299.4286,
4/21/20,48526,2189,2193.5714,
4/22/20,51225,2699,2216.8571,
4/23/20,53628,2403,2219.5714,
4/24/20,55900,2272,2117.4286,
